year,month,day,races_id,venue,track,distance,going,class
2011,9,11,0,沙田,草地 - A 賽道,1200,好地,第五班
2022,04,06,1,跑馬地,草地 - A 賽道,1000,好地,第三班
2022,04,06,2,跑馬地,草地 - A 賽道,2200,好地,第四班
2022,04,06,3,跑馬地,草地 - A 賽道,1650,好地,第五班
2022,04,06,4,跑馬地,草地 - A 賽道,1800,好地,第二班
2022,04,06,5,跑馬地,草地 - A 賽道,1000,好地,第四班
2022,04,06,6,跑馬地,草地 - A 賽道,1650,好地,第三班
2022,04,06,7,跑馬地,草地 - A 賽道,1200,好地,第四班
2022,04,06,8,跑馬地,草地 - A 賽道,1200,好地,第四班
2022,04,06,9,跑馬地,草地 - A 賽道,1200,好地,第三班
